c:	 2433
loc:	 2433
oc:	 2433
loc:_	 2433
oc:_	 2433
c:_	 2433
_loc:	 2431
ia:	 2427
ia:_	 2416
tsia:	 2408
sia:	 2408
_T	 2404
sia:_	 2397
ne	 2387
?_	 2336
m_	 2324
o_	 2305
se	 2304
